Index,factionsInGame,Factions.1,Factions.2,Factions.3,Factions.4,Factions.5,Factions.6,Factions.7,Factions.8
5533,"Universities of Jol-Nar, Nomad, Naaz-Rokha Alliance, Xxcha Kingdom, Vuil'raith Cabal, Yssaril Tribes","Universities of Jol-Nar"," Nomad"," Naaz-Rokha Alliance"," Xxcha Kingdom"," Vuil'raith Cabal"," Yssaril Tribes","",""
5559,"Nekro Virus, Barony of Letnev, L1Z1X Mindnet, Nomad, Vuil'raith Cabal, Yssaril Tribes","Nekro Virus"," Barony of Letnev"," L1Z1X Mindnet"," Nomad"," Vuil'raith Cabal"," Yssaril Tribes","",""
5619,"Keleres ~ Mentak, Clan of Saar, Embers of Muaat, Nekro Virus, Xxcha Kingdom, Yssaril Tribes","Keleres ~ Mentak"," Clan of Saar"," Embers of Muaat"," Nekro Virus"," Xxcha Kingdom"," Yssaril Tribes","",""
5643,"Naaz-Rokha Alliance, Universities of Jol-Nar, Xxcha Kingdom, Emirates of Hacan, Keleres ~ Mentak, Yssaril Tribes","Naaz-Rokha Alliance"," Universities of Jol-Nar"," Xxcha Kingdom"," Emirates of Hacan"," Keleres ~ Mentak"," Yssaril Tribes","",""
5735,"Naalu Collective, Vuil'raith Cabal, L1Z1X Mindnet, Nekro Virus, Clan of Saar, Yssaril Tribes","Naalu Collective"," Vuil'raith Cabal"," L1Z1X Mindnet"," Nekro Virus"," Clan of Saar"," Yssaril Tribes","",""
5783,"Mahact Gene-Sorcerers, Naaz-Rokha Alliance, Barony of Letnev, Vuil'raith Cabal, Nekro Virus, Yssaril Tribes","Mahact Gene-Sorcerers"," Naaz-Rokha Alliance"," Barony of Letnev"," Vuil'raith Cabal"," Nekro Virus"," Yssaril Tribes","",""
5834,"Naaz-Rokha Alliance, Ghosts of Creuss, Nekro Virus, Mentak Coalition, Titans of Ul, Yssaril Tribes","Naaz-Rokha Alliance"," Ghosts of Creuss"," Nekro Virus"," Mentak Coalition"," Titans of Ul"," Yssaril Tribes","",""
5866,"Nomad, Xxcha Kingdom, Sardakk N'orr, Federation of Sol, Ghosts of Creuss, Yssaril Tribes","Nomad"," Xxcha Kingdom"," Sardakk N'orr"," Federation of Sol"," Ghosts of Creuss"," Yssaril Tribes","",""
5905,"Mahact Gene-Sorcerers, L1Z1X Mindnet, Naaz-Rokha Alliance, Embers of Muaat, Naalu Collective, Yssaril Tribes","Mahact Gene-Sorcerers"," L1Z1X Mindnet"," Naaz-Rokha Alliance"," Embers of Muaat"," Naalu Collective"," Yssaril Tribes","",""
5972,"Nekro Virus, Clan of Saar, L1Z1X Mindnet, Naalu Collective, Argent Flight, Yssaril Tribes","Nekro Virus"," Clan of Saar"," L1Z1X Mindnet"," Naalu Collective"," Argent Flight"," Yssaril Tribes","",""
5973,"Sardakk N'orr, Ghosts of Creuss, Naaz-Rokha Alliance, Federation of Sol, Argent Flight, Yssaril Tribes","Sardakk N'orr"," Ghosts of Creuss"," Naaz-Rokha Alliance"," Federation of Sol"," Argent Flight"," Yssaril Tribes","",""
5989,"Vuil'raith Cabal, Naalu Collective, Clan of Saar, Yin Brotherhood, Sardakk N'orr, Yssaril Tribes","Vuil'raith Cabal"," Naalu Collective"," Clan of Saar"," Yin Brotherhood"," Sardakk N'orr"," Yssaril Tribes","",""
5990,"Empyrean, Embers of Muaat, Nekro Virus, Naalu Collective, Vuil'raith Cabal, Yssaril Tribes","Empyrean"," Embers of Muaat"," Nekro Virus"," Naalu Collective"," Vuil'raith Cabal"," Yssaril Tribes","",""
6044,"Titans of Ul, Nekro Virus, Mentak Coalition, Argent Flight, Naalu Collective, Yssaril Tribes","Titans of Ul"," Nekro Virus"," Mentak Coalition"," Argent Flight"," Naalu Collective"," Yssaril Tribes","",""
6073,"Mentak Coalition, Barony of Letnev, Titans of Ul, Naaz-Rokha Alliance, Universities of Jol-Nar, Yssaril Tribes","Mentak Coalition"," Barony of Letnev"," Titans of Ul"," Naaz-Rokha Alliance"," Universities of Jol-Nar"," Yssaril Tribes","",""
6077,"Barony of Letnev, Universities of Jol-Nar, Mahact Gene-Sorcerers, Vuil'raith Cabal, Nomad, Yssaril Tribes","Barony of Letnev"," Universities of Jol-Nar"," Mahact Gene-Sorcerers"," Vuil'raith Cabal"," Nomad"," Yssaril Tribes","",""
6090,"Naaz-Rokha Alliance, Nomad, Emirates of Hacan, Universities of Jol-Nar, Nekro Virus, Yssaril Tribes","Naaz-Rokha Alliance"," Nomad"," Emirates of Hacan"," Universities of Jol-Nar"," Nekro Virus"," Yssaril Tribes","",""
6093,"Nomad, Clan of Saar, Naalu Collective, Xxcha Kingdom, Nekro Virus, Yssaril Tribes","Nomad"," Clan of Saar"," Naalu Collective"," Xxcha Kingdom"," Nekro Virus"," Yssaril Tribes","",""
6136,"Titans of Ul, Naaz-Rokha Alliance, Ghosts of Creuss, Argent Flight, Xxcha Kingdom, Yssaril Tribes","Titans of Ul"," Naaz-Rokha Alliance"," Ghosts of Creuss"," Argent Flight"," Xxcha Kingdom"," Yssaril Tribes","",""
6143,"Keleres ~ Mentak, Federation of Sol, Mahact Gene-Sorcerers, Naaz-Rokha Alliance, Arborec, Yssaril Tribes","Keleres ~ Mentak"," Federation of Sol"," Mahact Gene-Sorcerers"," Naaz-Rokha Alliance"," Arborec"," Yssaril Tribes","",""
6158,"Sardakk N'orr, Naaz-Rokha Alliance, Embers of Muaat, Arborec, Nomad, Yssaril Tribes","Sardakk N'orr"," Naaz-Rokha Alliance"," Embers of Muaat"," Arborec"," Nomad"," Yssaril Tribes","",""
6174,"Empyrean, Arborec, Nekro Virus, Keleres ~ Mentak, Naalu Collective, Yssaril Tribes","Empyrean"," Arborec"," Nekro Virus"," Keleres ~ Mentak"," Naalu Collective"," Yssaril Tribes","",""
6249,"Federation of Sol, Naalu Collective, Arborec, Xxcha Kingdom, Argent Flight, Yssaril Tribes","Federation of Sol"," Naalu Collective"," Arborec"," Xxcha Kingdom"," Argent Flight"," Yssaril Tribes","",""
6270,"Xxcha Kingdom, Embers of Muaat, Sardakk N'orr, Emirates of Hacan, Argent Flight, Yssaril Tribes","Xxcha Kingdom"," Embers of Muaat"," Sardakk N'orr"," Emirates of Hacan"," Argent Flight"," Yssaril Tribes","",""
6293,"Ghosts of Creuss, Titans of Ul, Sardakk N'orr, Nekro Virus, Nomad, Yssaril Tribes","Ghosts of Creuss"," Titans of Ul"," Sardakk N'orr"," Nekro Virus"," Nomad"," Yssaril Tribes","",""
6331,"Mentak Coalition, Federation of Sol, Ghosts of Creuss, Xxcha Kingdom, Mahact Gene-Sorcerers, Yssaril Tribes","Mentak Coalition"," Federation of Sol"," Ghosts of Creuss"," Xxcha Kingdom"," Mahact Gene-Sorcerers"," Yssaril Tribes","",""
6343,"Keleres ~ Mentak, Naaz-Rokha Alliance, Mahact Gene-Sorcerers, Xxcha Kingdom, Universities of Jol-Nar, Yssaril Tribes","Keleres ~ Mentak"," Naaz-Rokha Alliance"," Mahact Gene-Sorcerers"," Xxcha Kingdom"," Universities of Jol-Nar"," Yssaril Tribes","",""
6349,"Yin Brotherhood, Naaz-Rokha Alliance, Emirates of Hacan, Sardakk N'orr, Argent Flight, Yssaril Tribes","Yin Brotherhood"," Naaz-Rokha Alliance"," Emirates of Hacan"," Sardakk N'orr"," Argent Flight"," Yssaril Tribes","",""
6352,"Arborec, Winnu, Empyrean, Emirates of Hacan, Yin Brotherhood, Yssaril Tribes","Arborec"," Winnu"," Empyrean"," Emirates of Hacan"," Yin Brotherhood"," Yssaril Tribes","",""
6404,"Vuil'raith Cabal, Titans of Ul, Barony of Letnev, Naaz-Rokha Alliance, L1Z1X Mindnet, Yssaril Tribes","Vuil'raith Cabal"," Titans of Ul"," Barony of Letnev"," Naaz-Rokha Alliance"," L1Z1X Mindnet"," Yssaril Tribes","",""
6405,"Naalu Collective, Barony of Letnev, Winnu, Xxcha Kingdom, Mahact Gene-Sorcerers, Yssaril Tribes","Naalu Collective"," Barony of Letnev"," Winnu"," Xxcha Kingdom"," Mahact Gene-Sorcerers"," Yssaril Tribes","",""
6426,"Naaz-Rokha Alliance, Naalu Collective, Ghosts of Creuss, Xxcha Kingdom, Vuil'raith Cabal, Yssaril Tribes","Naaz-Rokha Alliance"," Naalu Collective"," Ghosts of Creuss"," Xxcha Kingdom"," Vuil'raith Cabal"," Yssaril Tribes","",""
6427,"Federation of Sol, Universities of Jol-Nar, Sardakk N'orr, Emirates of Hacan, Barony of Letnev, Yssaril Tribes","Federation of Sol"," Universities of Jol-Nar"," Sardakk N'orr"," Emirates of Hacan"," Barony of Letnev"," Yssaril Tribes","",""
6443,"Ghosts of Creuss, Federation of Sol, Titans of Ul, Emirates of Hacan, Universities of Jol-Nar, Yssaril Tribes","Ghosts of Creuss"," Federation of Sol"," Titans of Ul"," Emirates of Hacan"," Universities of Jol-Nar"," Yssaril Tribes","",""
6473,"Clan of Saar, Embers of Muaat, Naalu Collective, Universities of Jol-Nar, Emirates of Hacan, Yssaril Tribes","Clan of Saar"," Embers of Muaat"," Naalu Collective"," Universities of Jol-Nar"," Emirates of Hacan"," Yssaril Tribes","",""
6485,"Argent Flight, Arborec, Embers of Muaat, Vuil'raith Cabal, Universities of Jol-Nar, Yssaril Tribes","Argent Flight"," Arborec"," Embers of Muaat"," Vuil'raith Cabal"," Universities of Jol-Nar"," Yssaril Tribes","",""
6552,"Keleres ~ Mentak, Naaz-Rokha Alliance, Empyrean, L1Z1X Mindnet, Emirates of Hacan, Yssaril Tribes","Keleres ~ Mentak"," Naaz-Rokha Alliance"," Empyrean"," L1Z1X Mindnet"," Emirates of Hacan"," Yssaril Tribes","",""
6568,"Keleres ~ Mentak, Naalu Collective, Empyrean, Vuil'raith Cabal, Ghosts of Creuss, Yssaril Tribes","Keleres ~ Mentak"," Naalu Collective"," Empyrean"," Vuil'raith Cabal"," Ghosts of Creuss"," Yssaril Tribes","",""
6621,"Clan of Saar, Sardakk N'orr, Titans of Ul, Naaz-Rokha Alliance, Nomad, Yssaril Tribes","Clan of Saar"," Sardakk N'orr"," Titans of Ul"," Naaz-Rokha Alliance"," Nomad"," Yssaril Tribes","",""
6623,"Argent Flight, Embers of Muaat, Clan of Saar, Winnu, Ghosts of Creuss, Yssaril Tribes","Argent Flight"," Embers of Muaat"," Clan of Saar"," Winnu"," Ghosts of Creuss"," Yssaril Tribes","",""
6640,"Emirates of Hacan, Xxcha Kingdom, Winnu, Clan of Saar, Universities of Jol-Nar, Yssaril Tribes","Emirates of Hacan"," Xxcha Kingdom"," Winnu"," Clan of Saar"," Universities of Jol-Nar"," Yssaril Tribes","",""
6660,"Mahact Gene-Sorcerers, Mentak Coalition, Clan of Saar, Yin Brotherhood, Universities of Jol-Nar, Yssaril Tribes","Mahact Gene-Sorcerers"," Mentak Coalition"," Clan of Saar"," Yin Brotherhood"," Universities of Jol-Nar"," Yssaril Tribes","",""
6733,"Empyrean, Naalu Collective, Titans of Ul, Ghosts of Creuss, Embers of Muaat, Yssaril Tribes","Empyrean"," Naalu Collective"," Titans of Ul"," Ghosts of Creuss"," Embers of Muaat"," Yssaril Tribes","",""
6746,"Ghosts of Creuss, Nomad, Nekro Virus, Mahact Gene-Sorcerers, Emirates of Hacan, Yssaril Tribes","Ghosts of Creuss"," Nomad"," Nekro Virus"," Mahact Gene-Sorcerers"," Emirates of Hacan"," Yssaril Tribes","",""
6808,"Xxcha Kingdom, Mentak Coalition, Winnu, Emirates of Hacan, Mahact Gene-Sorcerers, Yssaril Tribes","Xxcha Kingdom"," Mentak Coalition"," Winnu"," Emirates of Hacan"," Mahact Gene-Sorcerers"," Yssaril Tribes","",""
6839,"Titans of Ul, Clan of Saar, Empyrean, Emirates of Hacan, Federation of Sol, Yssaril Tribes","Titans of Ul"," Clan of Saar"," Empyrean"," Emirates of Hacan"," Federation of Sol"," Yssaril Tribes","",""
6847,"Ghosts of Creuss, Sardakk N'orr, Mahact Gene-Sorcerers, Naalu Collective, Barony of Letnev, Yssaril Tribes","Ghosts of Creuss"," Sardakk N'orr"," Mahact Gene-Sorcerers"," Naalu Collective"," Barony of Letnev"," Yssaril Tribes","",""
6849,"Arborec, Argent Flight, Universities of Jol-Nar, Embers of Muaat, Ghosts of Creuss, Yssaril Tribes","Arborec"," Argent Flight"," Universities of Jol-Nar"," Embers of Muaat"," Ghosts of Creuss"," Yssaril Tribes","",""
6860,"Barony of Letnev, Sardakk N'orr, Empyrean, Universities of Jol-Nar, Xxcha Kingdom, Yssaril Tribes","Barony of Letnev"," Sardakk N'orr"," Empyrean"," Universities of Jol-Nar"," Xxcha Kingdom"," Yssaril Tribes","",""
6891,"L1Z1X Mindnet, Sardakk N'orr, Naaz-Rokha Alliance, Nomad, Ghosts of Creuss, Yssaril Tribes","L1Z1X Mindnet"," Sardakk N'orr"," Naaz-Rokha Alliance"," Nomad"," Ghosts of Creuss"," Yssaril Tribes","",""
6894,"Sardakk N'orr, Nekro Virus, Empyrean, Vuil'raith Cabal, L1Z1X Mindnet, Yssaril Tribes","Sardakk N'orr"," Nekro Virus"," Empyrean"," Vuil'raith Cabal"," L1Z1X Mindnet"," Yssaril Tribes","",""
6914,"Vuil'raith Cabal, Barony of Letnev, Clan of Saar, Ghosts of Creuss, Empyrean, Yssaril Tribes","Vuil'raith Cabal"," Barony of Letnev"," Clan of Saar"," Ghosts of Creuss"," Empyrean"," Yssaril Tribes","",""
6919,"Arborec, Nekro Virus, Barony of Letnev, Federation of Sol, Empyrean, Yssaril Tribes","Arborec"," Nekro Virus"," Barony of Letnev"," Federation of Sol"," Empyrean"," Yssaril Tribes","",""
6924,"Universities of Jol-Nar, Federation of Sol, Nekro Virus, Clan of Saar, Naalu Collective, Yssaril Tribes","Universities of Jol-Nar"," Federation of Sol"," Nekro Virus"," Clan of Saar"," Naalu Collective"," Yssaril Tribes","",""
6939,"Nekro Virus, Xxcha Kingdom, Winnu, Titans of Ul, Embers of Muaat, Yssaril Tribes","Nekro Virus"," Xxcha Kingdom"," Winnu"," Titans of Ul"," Embers of Muaat"," Yssaril Tribes","",""
6941,"Xxcha Kingdom, Mahact Gene-Sorcerers, Emirates of Hacan, Naalu Collective, Clan of Saar, Yssaril Tribes","Xxcha Kingdom"," Mahact Gene-Sorcerers"," Emirates of Hacan"," Naalu Collective"," Clan of Saar"," Yssaril Tribes","",""
6967,"Yin Brotherhood, Universities of Jol-Nar, Empyrean, Naalu Collective, Xxcha Kingdom, Yssaril Tribes","Yin Brotherhood"," Universities of Jol-Nar"," Empyrean"," Naalu Collective"," Xxcha Kingdom"," Yssaril Tribes","",""
7014,"Clan of Saar, Nomad, Xxcha Kingdom, Naaz-Rokha Alliance, Nekro Virus, Yssaril Tribes","Clan of Saar"," Nomad"," Xxcha Kingdom"," Naaz-Rokha Alliance"," Nekro Virus"," Yssaril Tribes","",""
7023,"Mahact Gene-Sorcerers, Titans of Ul, Barony of Letnev, Yin Brotherhood, Nomad, Yssaril Tribes","Mahact Gene-Sorcerers"," Titans of Ul"," Barony of Letnev"," Yin Brotherhood"," Nomad"," Yssaril Tribes","",""
7031,"Nekro Virus, Emirates of Hacan, Xxcha Kingdom, Barony of Letnev, Embers of Muaat, Yssaril Tribes","Nekro Virus"," Emirates of Hacan"," Xxcha Kingdom"," Barony of Letnev"," Embers of Muaat"," Yssaril Tribes","",""
7044,"Mahact Gene-Sorcerers, Naalu Collective, Winnu, Federation of Sol, Clan of Saar, Yssaril Tribes","Mahact Gene-Sorcerers"," Naalu Collective"," Winnu"," Federation of Sol"," Clan of Saar"," Yssaril Tribes","",""
7057,"Mentak Coalition, Barony of Letnev, Emirates of Hacan, Nekro Virus, Xxcha Kingdom, Yssaril Tribes","Mentak Coalition"," Barony of Letnev"," Emirates of Hacan"," Nekro Virus"," Xxcha Kingdom"," Yssaril Tribes","",""
7071,"Ghosts of Creuss, Titans of Ul, Sardakk N'orr, Arborec, Emirates of Hacan, Yssaril Tribes","Ghosts of Creuss"," Titans of Ul"," Sardakk N'orr"," Arborec"," Emirates of Hacan"," Yssaril Tribes","",""
7074,"Nekro Virus, Empyrean, Nomad, Keleres ~ Mentak, Naalu Collective, Yssaril Tribes","Nekro Virus"," Empyrean"," Nomad"," Keleres ~ Mentak"," Naalu Collective"," Yssaril Tribes","",""
7118,"Nomad, Empyrean, Xxcha Kingdom, Barony of Letnev, Emirates of Hacan, Yssaril Tribes","Nomad"," Empyrean"," Xxcha Kingdom"," Barony of Letnev"," Emirates of Hacan"," Yssaril Tribes","",""
7180,"Naalu Collective, Naaz-Rokha Alliance, Federation of Sol, Empyrean, Vuil'raith Cabal, Yssaril Tribes","Naalu Collective"," Naaz-Rokha Alliance"," Federation of Sol"," Empyrean"," Vuil'raith Cabal"," Yssaril Tribes","",""
7185,"Naaz-Rokha Alliance, Federation of Sol, Barony of Letnev, Titans of Ul, Universities of Jol-Nar, Yssaril Tribes","Naaz-Rokha Alliance"," Federation of Sol"," Barony of Letnev"," Titans of Ul"," Universities of Jol-Nar"," Yssaril Tribes","",""
7285,"Mahact Gene-Sorcerers, L1Z1X Mindnet, Emirates of Hacan, Barony of Letnev, Xxcha Kingdom, Yssaril Tribes","Mahact Gene-Sorcerers"," L1Z1X Mindnet"," Emirates of Hacan"," Barony of Letnev"," Xxcha Kingdom"," Yssaril Tribes","",""
7363,"Yin Brotherhood, Mahact Gene-Sorcerers, Ghosts of Creuss, Keleres ~ Mentak, Naalu Collective, Yssaril Tribes","Yin Brotherhood"," Mahact Gene-Sorcerers"," Ghosts of Creuss"," Keleres ~ Mentak"," Naalu Collective"," Yssaril Tribes","",""
7395,"Vuil'raith Cabal, Barony of Letnev, Universities of Jol-Nar, Keleres ~ Mentak, Naalu Collective, Yssaril Tribes","Vuil'raith Cabal"," Barony of Letnev"," Universities of Jol-Nar"," Keleres ~ Mentak"," Naalu Collective"," Yssaril Tribes","",""
7397,"Nekro Virus, Mentak Coalition, Mahact Gene-Sorcerers, Embers of Muaat, Nomad, Yssaril Tribes","Nekro Virus"," Mentak Coalition"," Mahact Gene-Sorcerers"," Embers of Muaat"," Nomad"," Yssaril Tribes","",""
7400,"Mahact Gene-Sorcerers, Empyrean, Yin Brotherhood, L1Z1X Mindnet, Nomad, Yssaril Tribes","Mahact Gene-Sorcerers"," Empyrean"," Yin Brotherhood"," L1Z1X Mindnet"," Nomad"," Yssaril Tribes","",""
7430,"Argent Flight, Universities of Jol-Nar, L1Z1X Mindnet, Nekro Virus, Empyrean, Yssaril Tribes","Argent Flight"," Universities of Jol-Nar"," L1Z1X Mindnet"," Nekro Virus"," Empyrean"," Yssaril Tribes","",""
7433,"Barony of Letnev, Keleres ~ Mentak, Universities of Jol-Nar, Yin Brotherhood, Naalu Collective, Yssaril Tribes","Barony of Letnev"," Keleres ~ Mentak"," Universities of Jol-Nar"," Yin Brotherhood"," Naalu Collective"," Yssaril Tribes","",""
7450,"Titans of Ul, Naalu Collective, Arborec, Emirates of Hacan, Mahact Gene-Sorcerers, Yssaril Tribes","Titans of Ul"," Naalu Collective"," Arborec"," Emirates of Hacan"," Mahact Gene-Sorcerers"," Yssaril Tribes","",""
7455,"Naalu Collective, Yin Brotherhood, Embers of Muaat, Universities of Jol-Nar, Empyrean, Yssaril Tribes","Naalu Collective"," Yin Brotherhood"," Embers of Muaat"," Universities of Jol-Nar"," Empyrean"," Yssaril Tribes","",""
7470,"Nomad, Vuil'raith Cabal, Arborec, Emirates of Hacan, Federation of Sol, Yssaril Tribes","Nomad"," Vuil'raith Cabal"," Arborec"," Emirates of Hacan"," Federation of Sol"," Yssaril Tribes","",""
7484,"Argent Flight, Mentak Coalition, Titans of Ul, Clan of Saar, Universities of Jol-Nar, Yssaril Tribes","Argent Flight"," Mentak Coalition"," Titans of Ul"," Clan of Saar"," Universities of Jol-Nar"," Yssaril Tribes","",""
7512,"Nomad, Naalu Collective, Mahact Gene-Sorcerers, Universities of Jol-Nar, Vuil'raith Cabal, Yssaril Tribes","Nomad"," Naalu Collective"," Mahact Gene-Sorcerers"," Universities of Jol-Nar"," Vuil'raith Cabal"," Yssaril Tribes","",""
7535,"Winnu, Federation of Sol, Nekro Virus, Mentak Coalition, Xxcha Kingdom, Yssaril Tribes","Winnu"," Federation of Sol"," Nekro Virus"," Mentak Coalition"," Xxcha Kingdom"," Yssaril Tribes","",""
7542,"Federation of Sol, Winnu, Ghosts of Creuss, Xxcha Kingdom, L1Z1X Mindnet, Yssaril Tribes","Federation of Sol"," Winnu"," Ghosts of Creuss"," Xxcha Kingdom"," L1Z1X Mindnet"," Yssaril Tribes","",""
7620,"Xxcha Kingdom, Argent Flight, Universities of Jol-Nar, Nomad, Federation of Sol, Yssaril Tribes","Xxcha Kingdom"," Argent Flight"," Universities of Jol-Nar"," Nomad"," Federation of Sol"," Yssaril Tribes","",""
7638,"Ghosts of Creuss, Mahact Gene-Sorcerers, Arborec, Mentak Coalition, Argent Flight, Yssaril Tribes","Ghosts of Creuss"," Mahact Gene-Sorcerers"," Arborec"," Mentak Coalition"," Argent Flight"," Yssaril Tribes","",""
7652,"Embers of Muaat, Keleres ~ Mentak, Barony of Letnev, Federation of Sol, Argent Flight, Yssaril Tribes","Embers of Muaat"," Keleres ~ Mentak"," Barony of Letnev"," Federation of Sol"," Argent Flight"," Yssaril Tribes","",""
7781,"Vuil'raith Cabal, Nekro Virus, Naalu Collective, Mentak Coalition, Emirates of Hacan, Yssaril Tribes","Vuil'raith Cabal"," Nekro Virus"," Naalu Collective"," Mentak Coalition"," Emirates of Hacan"," Yssaril Tribes","",""
7849,"Vuil'raith Cabal, Nekro Virus, Emirates of Hacan, Barony of Letnev, Clan of Saar, Yssaril Tribes","Vuil'raith Cabal"," Nekro Virus"," Emirates of Hacan"," Barony of Letnev"," Clan of Saar"," Yssaril Tribes","",""
7876,"Embers of Muaat, Naaz-Rokha Alliance, Nomad, Titans of Ul, Federation of Sol, Yssaril Tribes","Embers of Muaat"," Naaz-Rokha Alliance"," Nomad"," Titans of Ul"," Federation of Sol"," Yssaril Tribes","",""
7881,"Titans of Ul, Universities of Jol-Nar, Sardakk N'orr, Xxcha Kingdom, Clan of Saar, Yssaril Tribes","Titans of Ul"," Universities of Jol-Nar"," Sardakk N'orr"," Xxcha Kingdom"," Clan of Saar"," Yssaril Tribes","",""
7889,"L1Z1X Mindnet, Titans of Ul, Naalu Collective, Keleres ~ Mentak, Nomad, Yssaril Tribes","L1Z1X Mindnet"," Titans of Ul"," Naalu Collective"," Keleres ~ Mentak"," Nomad"," Yssaril Tribes","",""
7901,"Sardakk N'orr, Naalu Collective, Ghosts of Creuss, Nekro Virus, Barony of Letnev, Yssaril Tribes","Sardakk N'orr"," Naalu Collective"," Ghosts of Creuss"," Nekro Virus"," Barony of Letnev"," Yssaril Tribes","",""
7922,"Federation of Sol, Ghosts of Creuss, Naalu Collective, Vuil'raith Cabal, Argent Flight, Yssaril Tribes","Federation of Sol"," Ghosts of Creuss"," Naalu Collective"," Vuil'raith Cabal"," Argent Flight"," Yssaril Tribes","",""
7991,"Nekro Virus, Winnu, Federation of Sol, Keleres ~ Mentak, Naalu Collective, Yssaril Tribes","Nekro Virus"," Winnu"," Federation of Sol"," Keleres ~ Mentak"," Naalu Collective"," Yssaril Tribes","",""
8064,"Mahact Gene-Sorcerers, Embers of Muaat, Sardakk N'orr, Nekro Virus, Ghosts of Creuss, Yssaril Tribes","Mahact Gene-Sorcerers"," Embers of Muaat"," Sardakk N'orr"," Nekro Virus"," Ghosts of Creuss"," Yssaril Tribes","",""
8084,"Nomad, Titans of Ul, Naaz-Rokha Alliance, Xxcha Kingdom, Clan of Saar, Yssaril Tribes","Nomad"," Titans of Ul"," Naaz-Rokha Alliance"," Xxcha Kingdom"," Clan of Saar"," Yssaril Tribes","",""
8102,"Embers of Muaat, Arborec, Clan of Saar, Nekro Virus, Sardakk N'orr, Yssaril Tribes","Embers of Muaat"," Arborec"," Clan of Saar"," Nekro Virus"," Sardakk N'orr"," Yssaril Tribes","",""
8108,"Titans of Ul, Mahact Gene-Sorcerers, Ghosts of Creuss, Vuil'raith Cabal, Sardakk N'orr, Yssaril Tribes","Titans of Ul"," Mahact Gene-Sorcerers"," Ghosts of Creuss"," Vuil'raith Cabal"," Sardakk N'orr"," Yssaril Tribes","",""
8113,"Winnu, Embers of Muaat, Nomad, L1Z1X Mindnet, Naalu Collective, Yssaril Tribes","Winnu"," Embers of Muaat"," Nomad"," L1Z1X Mindnet"," Naalu Collective"," Yssaril Tribes","",""
8125,"Empyrean, Naalu Collective, Emirates of Hacan, Clan of Saar, Universities of Jol-Nar, Yssaril Tribes","Empyrean"," Naalu Collective"," Emirates of Hacan"," Clan of Saar"," Universities of Jol-Nar"," Yssaril Tribes","",""
8189,"Yin Brotherhood, Ghosts of Creuss, Nomad, Keleres ~ Mentak, Empyrean, Yssaril Tribes","Yin Brotherhood"," Ghosts of Creuss"," Nomad"," Keleres ~ Mentak"," Empyrean"," Yssaril Tribes","",""
8193,"L1Z1X Mindnet, Barony of Letnev, Arborec, Vuil'raith Cabal, Mentak Coalition, Yssaril Tribes","L1Z1X Mindnet"," Barony of Letnev"," Arborec"," Vuil'raith Cabal"," Mentak Coalition"," Yssaril Tribes","",""
8313,"Emirates of Hacan, Titans of Ul, Universities of Jol-Nar, L1Z1X Mindnet, Embers of Muaat, Yssaril Tribes","Emirates of Hacan"," Titans of Ul"," Universities of Jol-Nar"," L1Z1X Mindnet"," Embers of Muaat"," Yssaril Tribes","",""
8318,"Nomad, Empyrean, Naalu Collective, Federation of Sol, Clan of Saar, Yssaril Tribes","Nomad"," Empyrean"," Naalu Collective"," Federation of Sol"," Clan of Saar"," Yssaril Tribes","",""
8338,"Universities of Jol-Nar, Mentak Coalition, L1Z1X Mindnet, Vuil'raith Cabal, Naalu Collective, Yssaril Tribes","Universities of Jol-Nar"," Mentak Coalition"," L1Z1X Mindnet"," Vuil'raith Cabal"," Naalu Collective"," Yssaril Tribes","",""
8341,"Yin Brotherhood, L1Z1X Mindnet, Mahact Gene-Sorcerers, Emirates of Hacan, Empyrean, Yssaril Tribes","Yin Brotherhood"," L1Z1X Mindnet"," Mahact Gene-Sorcerers"," Emirates of Hacan"," Empyrean"," Yssaril Tribes","",""
8359,"Embers of Muaat, Keleres ~ Mentak, Empyrean, Nekro Virus, Mahact Gene-Sorcerers, Yssaril Tribes","Embers of Muaat"," Keleres ~ Mentak"," Empyrean"," Nekro Virus"," Mahact Gene-Sorcerers"," Yssaril Tribes","",""
8382,"Barony of Letnev, Winnu, Keleres ~ Mentak, Nomad, Naalu Collective, Yssaril Tribes","Barony of Letnev"," Winnu"," Keleres ~ Mentak"," Nomad"," Naalu Collective"," Yssaril Tribes","",""
8390,"Ghosts of Creuss, Emirates of Hacan, Yin Brotherhood, Universities of Jol-Nar, Argent Flight, Yssaril Tribes","Ghosts of Creuss"," Emirates of Hacan"," Yin Brotherhood"," Universities of Jol-Nar"," Argent Flight"," Yssaril Tribes","",""
8418,"Titans of Ul, Naalu Collective, Nekro Virus, Mentak Coalition, Universities of Jol-Nar, Yssaril Tribes","Titans of Ul"," Naalu Collective"," Nekro Virus"," Mentak Coalition"," Universities of Jol-Nar"," Yssaril Tribes","",""
8502,"Ghosts of Creuss, Mahact Gene-Sorcerers, Sardakk N'orr, Barony of Letnev, Federation of Sol, Yssaril Tribes","Ghosts of Creuss"," Mahact Gene-Sorcerers"," Sardakk N'orr"," Barony of Letnev"," Federation of Sol"," Yssaril Tribes","",""
8559,"Naalu Collective, Mahact Gene-Sorcerers, Clan of Saar, Federation of Sol, Sardakk N'orr, Yssaril Tribes","Naalu Collective"," Mahact Gene-Sorcerers"," Clan of Saar"," Federation of Sol"," Sardakk N'orr"," Yssaril Tribes","",""
